season,team,segment,seg_games,seg_off_roll3_mean,seg_def_roll3_mean,seg_net_roll3_mean,cluster_id,cluster_name
2020,GB,G13+,6,0.20942351884312096,0.004760053577936358,0.20466346749001077,0,Cluster_0
2020,GB,G5-8,4,0.08814020827412605,0.05468737151628981,0.03345283990104993,0,Cluster_0
2020,GB,G9-12,4,0.06419555097818375,-0.007454699681450924,0.07165025422970453,0,Cluster_0
2020,HOU,G1-4,4,-0.02055034538110097,0.16103036204973856,-0.18158071239789328,2,Cluster_2
2020,HOU,G13+,4,-0.0016132298236091916,0.09768778178840876,-0.09930100788672765,2,Cluster_2
2020,HOU,G5-8,4,0.068008653819561,0.1024125007291635,-0.034403848151365914,0,Cluster_0
2020,HOU,G9-12,4,0.049852821355064705,0.051506967594226204,-0.0016541449973980563,0,Cluster_0
2020,IND,G1-4,4,0.04023845617969831,-0.14213213821252188,0.18237058818340302,1,Cluster_1
2020,IND,G13+,5,0.10905645061284304,0.02535584392026067,0.08370060374339422,0,Cluster_0
2020,IND,G5-8,4,0.05878664584209522,-0.09153380865852039,0.15032045139620703,1,Cluster_1
2020,IND,G9-12,4,0.0013795597478747368,-0.054805985651910305,0.05618554291625817,1,Cluster_1
2020,JAX,G1-4,4,0.07173112034797668,0.13797921066482863,-0.0662480890750885,0,Cluster_0
2020,JAX,G13+,4,-0.08872238422433536,0.11568376887589693,-0.20440615341067314,2,Cluster_2
2020,JAX,G5-8,4,-0.05193901744981607,0.14546782694136104,-0.19740684516727924,2,Cluster_2
2020,JAX,G9-12,4,-0.10743641884376605,0.023927217659850918,-0.13136363433053097,2,Cluster_2
2020,KC,G1-4,4,0.16936388611793518,0.03548173326998949,0.1338821512957414,0,Cluster_0
2020,KC,G13+,7,0.10370428727141448,0.0801462529315835,0.02355803460592315,0,Cluster_0
2020,KC,G5-8,4,0.13043790869414806,0.01967218774370849,0.1107657194758455,0,Cluster_0
2020,KC,G9-12,4,0.20792027935385704,0.0269663135210673,0.1809539720416069,0,Cluster_0
2020,LA,G1-4,4,0.1571447029709816,0.03794924751855433,0.11919545382261276,0,Cluster_0
2020,LA,G13+,6,-0.098855456440813,-0.1676890334735314,0.06883357423875068,1,Cluster_1
2020,LA,G5-8,4,0.05000935417289535,-0.08560304260269427,0.13561239776511985,1,Cluster_1
2020,LA,G9-12,4,-0.12195734299408893,-0.18212581612169743,0.06016847367088,1,Cluster_1
2020,LAC,G1-4,4,-0.07745199743658304,-0.04831033696730932,-0.029141660779714584,2,Cluster_2
2020,LAC,G13+,4,-0.11603731910387674,0.039518587912122406,-0.15555590732644,2,Cluster_2
2020,LAC,G5-8,4,-0.018145644028360643,-0.011663934992005428,-0.006481710045288006,0,Cluster_0
2020,LAC,G9-12,4,-0.019943106453865767,0.03336169974257549,-0.05330480448901653,2,Cluster_2
2020,LV,G1-4,4,0.10528792689243953,0.12381975104411443,-0.01853182166814804,0,Cluster_0
2020,LV,G13+,4,-0.03012342517225383,0.12800952877538901,-0.1581329523275296,2,Cluster_2
2020,LV,G5-8,4,0.0570767613244243,0.13172691812117895,-0.07465015662213166,0,Cluster_0
2020,LV,G9-12,4,0.0744939527163903,-0.0012791615057115755,0.07577310999234517,0,Cluster_0
2020,MIA,G1-4,4,0.093203941360116,0.08230173836151759,0.010902201135953268,0,Cluster_0
2020,MIA,G13+,4,0.0014350756537169227,-0.08935457370049942,0.09078964963555336,1,Cluster_1
2020,MIA,G5-8,4,0.07542953205605349,-0.07492695127924284,0.1503564827144146,1,Cluster_1
2020,MIA,G9-12,4,-0.04527883355816205,-0.12382182944566011,0.07854299433529377,1,Cluster_1
2020,MIN,G1-4,4,-0.002254523957769076,0.12365985537568729,-0.12591437747081122,2,Cluster_2
2020,MIN,G13+,4,-0.02349761809455231,0.06913537004341681,-0.09263298908869425,2,Cluster_2
2020,MIN,G5-8,4,0.0436960319057107,0.07860256203760703,-0.034906527027487755,0,Cluster_0
2020,MIN,G9-12,4,0.028085347769471504,-0.04037202801555395,0.06845737341791391,1,Cluster_1
2020,NE,G1-4,4,0.1207714503010114,0.014128989850481352,0.10664245982964833,0,Cluster_0
2020,NE,G13+,4,-0.09823545937736829,-0.11122770483295122,0.012992249801754951,1,Cluster_1
2020,NE,G5-8,4,-0.0825051808108886,0.05346907768398523,-0.13597425880531472,2,Cluster_2
2020,NE,G9-12,4,0.0898778202633063,0.14316420443356037,-0.05328638417025407,0,Cluster_0
2020,NO,G1-4,4,0.03197974587480227,0.06934164464473724,-0.03736189752817154,0,Cluster_0
2020,NO,G13+,6,0.0485031037694878,-0.11243833042681217,0.16094143854247198,1,Cluster_1
2020,NO,G5-8,4,0.08420255547389388,0.09279552847146988,-0.00859297237669428,0,Cluster_0
2020,NO,G9-12,4,0.07578181475400925,-0.20001359470188618,0.2757954144229492,1,Cluster_1
2020,NYG,G1-4,4,-0.1009015825887521,0.09244908640782039,-0.1933506727218628,2,Cluster_2
2020,NYG,G13+,4,-0.13696946917722622,-0.02824973369327684,-0.10871973633766174,2,Cluster_2
2020,NYG,G5-8,4,-0.06860674917697906,0.009322397410869597,-0.07792914907137553,2,Cluster_2
2020,NYG,G9-12,4,0.0354497393903633,0.01192493721221884,0.023524801402042307,0,Cluster_0
2020,NYJ,G1-4,4,-0.20635187129179636,0.07861466705799103,-0.28496653338273364,2,Cluster_2
2020,NYJ,G13+,4,-0.15328335606803498,0.027094445501764614,-0.18037780715773505,2,Cluster_2
2020,NYJ,G5-8,4,-0.19581969703237218,0.06265265323842566,-0.25847234576940536,2,Cluster_2
2020,NYJ,G9-12,4,-0.049551201363404594,0.10251430235803127,-0.15206550806760788,2,Cluster_2
2020,PHI,G1-4,4,-0.08070182404480875,0.061000666270653404,-0.14170248868564764,2,Cluster_2
2020,PHI,G13+,4,-0.0554141568330427,0.03690372182366748,-0.09231787982086341,2,Cluster_2
2020,PHI,G5-8,4,0.011938286537770182,0.05622517441709836,-0.044286889024078846,0,Cluster_0
2020,PHI,G9-12,4,-0.09021726157516241,-0.06004125960559274,-0.03017600253224373,2,Cluster_2
2020,PIT,G1-4,4,0.03919720649719238,-0.04376604283849398,0.08296324809392293,1,Cluster_1
2020,PIT,G13+,5,-0.10578902686635654,-0.07112950244918466,-0.034659524261951444,2,Cluster_2
2020,PIT,G5-8,4,0.07549700109908979,-0.0980379122775048,0.1735349167138338,1,Cluster_1
2020,PIT,G9-12,4,0.03853344385667394,-0.14547901045686254,0.18401245214045048,1,Cluster_1
2020,SEA,G1-4,4,0.1652163788676262,0.06014652798573176,0.1050698533654213,0,Cluster_0
2020,SEA,G13+,5,0.04176740804687142,-0.11417299328992765,0.1559404047826926,1,Cluster_1
2020,SEA,G5-8,4,0.13238219109674296,0.07865384221076965,0.05372834640244643,0,Cluster_0
2020,SEA,G9-12,4,0.06583085817207272,0.07434989092871547,-0.00851903421183427,0,Cluster_0
2020,SF,G1-4,4,0.11362892389297485,-0.09312460385262966,0.20675352960824966,1,Cluster_1
2020,SF,G13+,4,-0.10998759636034568,-0.05913617958625157,-0.05085141708453496,2,Cluster_2
2020,SF,G5-8,4,0.0314111119757096,0.00904435555761059,0.022366759677728026,0,Cluster_0
2020,SF,G9-12,4,0.0259363385848701,0.07043285567002992,-0.0444965170075496,0,Cluster_0
2020,TB,G1-4,4,-0.023907839010159176,-0.12970652182896933,0.10579868654410045,1,Cluster_1
2020,TB,G13+,8,0.14355721650645137,-0.03776356077287346,0.18132077902555466,0,Cluster_0
2020,TB,G5-8,4,0.07478920118107149,-0.09212456333140533,0.1669137654826045,1,Cluster_1
2020,TB,G9-12,4,0.01491075257460276,0.0070966881078978385,0.007814061517516766,0,Cluster_0
2020,TEN,G1-4,4,0.09386079742883642,0.045623382553458214,0.048237414409716926,0,Cluster_0
2020,TEN,G13+,5,0.19320794194936752,0.10904261618852615,0.08416532824436825,0,Cluster_0
2020,TEN,G5-8,4,0.15368045237846673,0.07539884528766075,0.07828160499533017,0,Cluster_0
2020,TEN,G9-12,4,0.03058297555738439,0.0689822587495049,-0.038399282221992806,0,Cluster_0
