date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,goal_diff_home
2023-06-19,Turkey,Wales,2,0,UEFA Euro qualification,Samsun,Turkey,False,home_win,2
2023-06-19,Switzerland,Romania,2,2,UEFA Euro qualification,Lucerne,Switzerland,False,draw,0
2023-06-20,Algeria,Tunisia,1,1,Friendly,Annaba,Algeria,False,draw,0
2023-06-20,Brazil,Senegal,2,4,Friendly,Lisbon,Portugal,True,away_win,-2
2023-06-20,Ecuador,Costa Rica,3,1,Friendly,Chester,United States,True,home_win,2
2023-06-20,Germany,Colombia,0,2,Friendly,Gelsenkirchen,Germany,False,away_win,-2
2023-06-20,Haiti,Trinidad and Tobago,0,0,Friendly,Palm Beach Gardens,United States,True,draw,0
2023-06-20,Japan,Peru,4,1,Friendly,Suita,Japan,False,home_win,3
2023-06-20,South Korea,El Salvador,1,1,Friendly,Daejeon,South Korea,False,draw,0
2023-06-20,Montenegro,Czech Republic,1,4,Friendly,Podgorica,Montenegro,False,away_win,-3
2023-06-20,Uruguay,Cuba,2,0,Friendly,Montevideo,Uruguay,False,home_win,2
2023-06-20,Scotland,Georgia,2,0,UEFA Euro qualification,Glasgow,Scotland,False,home_win,2
2023-06-20,Norway,Cyprus,3,1,UEFA Euro qualification,Oslo,Norway,False,home_win,2
2023-06-20,Austria,Sweden,2,0,UEFA Euro qualification,Vienna,Austria,False,home_win,2
2023-06-20,Estonia,Belgium,0,3,UEFA Euro qualification,Tallinn,Estonia,False,away_win,-3
2023-06-20,Iceland,Portugal,0,1,UEFA Euro qualification,Reykjavík,Iceland,False,away_win,-1
2023-06-20,Bosnia and Herzegovina,Luxembourg,0,2,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,away_win,-2
2023-06-20,Uzbekistan,Iran,0,1,CAFA Nations Cup,Tashkent,Uzbekistan,False,away_win,-1
2023-06-24,United States,Jamaica,1,1,Gold Cup,Chicago,United States,False,draw,0
2023-06-25,Haiti,Qatar,2,1,Gold Cup,Houston,United States,True,home_win,1
2023-06-25,Mexico,Honduras,4,0,Gold Cup,Houston,United States,True,home_win,4
2023-06-26,Costa Rica,Panama,1,2,Gold Cup,Fort Lauderdale,United States,True,away_win,-1
2023-06-27,Canada,Guadeloupe,2,2,Gold Cup,Toronto,Canada,False,draw,0
2023-06-28,United States,Saint Kitts and Nevis,6,0,Gold Cup,St. Louis,United States,False,home_win,6
2023-06-29,Qatar,Honduras,1,1,Gold Cup,Glendale,United States,True,draw,0
2023-06-29,Haiti,Mexico,1,3,Gold Cup,Glendale,United States,True,away_win,-2
2023-06-30,Martinique,Panama,1,2,Gold Cup,Harrison,United States,True,away_win,-1
2023-07-01,Guatemala,Canada,0,0,Gold Cup,Houston,United States,True,draw,0
2023-07-02,United States,Trinidad and Tobago,6,0,Gold Cup,Charlotte,United States,False,home_win,6
2023-07-02,Honduras,Haiti,2,1,Gold Cup,Charlotte,United States,True,home_win,1
2023-07-02,Mexico,Qatar,0,1,Gold Cup,Santa Clara,United States,True,away_win,-1
2023-07-04,Panama,El Salvador,2,2,Gold Cup,Houston,United States,True,draw,0
2023-07-04,Canada,Cuba,4,2,Gold Cup,Houston,United States,True,home_win,2
2023-07-05,South Africa,Namibia,1,1,COSAFA Cup,Durban,South Africa,False,draw,0
2023-07-08,Panama,Qatar,4,0,Gold Cup,Arlington,United States,True,home_win,4
2023-07-08,Mexico,Costa Rica,2,0,Gold Cup,Arlington,United States,True,home_win,2
2023-07-08,South Africa,Botswana,2,1,COSAFA Cup,Durban,South Africa,False,home_win,1
2023-07-09,United States,Canada,2,2,Gold Cup,Cincinnati,United States,False,draw,0
2023-07-11,South Africa,Eswatini,2,1,COSAFA Cup,KwaMashu,South Africa,False,home_win,1
2023-07-12,United States,Panama,1,1,Gold Cup,San Diego,United States,False,draw,0
2023-07-12,Jamaica,Mexico,0,3,Gold Cup,Paradise,United States,True,away_win,-3
2023-07-14,South Africa,Zambia,1,2,COSAFA Cup,Durban,South Africa,False,away_win,-1
2023-07-16,Mexico,Panama,1,0,Gold Cup,Inglewood,United States,True,home_win,1
2023-07-16,South Africa,Malawi,0,0,COSAFA Cup,Durban,South Africa,False,draw,0
2023-08-27,Bolivia,Panama,1,2,Friendly,Cochabamba,Bolivia,False,away_win,-1
2023-09-07,Trinidad and Tobago,Curaçao,1,0,CONCACAF Nations League,Port of Spain,Trinidad and Tobago,False,home_win,1
2023-09-07,Panama,Martinique,3,0,CONCACAF Nations League,Panama City,Panama,False,home_win,3
2023-09-07,Colombia,Venezuela,1,0,FIFA World Cup qualification,Barranquilla,Colombia,False,home_win,1
2023-09-07,Paraguay,Peru,0,0,FIFA World Cup qualification,Ciudad del Este,Paraguay,False,draw,0
2023-09-07,Argentina,Ecuador,1,0,FIFA World Cup qualification,Buenos Aires,Argentina,False,home_win,1
2023-09-07,Austria,Moldova,1,1,Friendly,Pasching,Austria,False,draw,0
2023-09-07,Bulgaria,Iran,0,1,Friendly,Plovdiv,Bulgaria,False,away_win,-1
