stats_source,stats_complete,parsed_stat_count,match_id,match_url,team_side,team_name,opponent_side,opponent_name,attacking__possession,attacking__possession__in_contest,attacking__goal__total,attacking__goal__conceded,attacking__goal__inside_the_penalty_area,attacking__goal__outside_the_penalty_area,attacking__goal__assists,attacking__attempts_at_goal__total,attacking__attempts_at_goal__on_target,attacking__attempts_at_goal__off_target,attacking__attempts_at_goal__inside_the_penalty_area,attacking__attempts_at_goal__outside_the_penalty_area,attacking__final_third_entries__left_channel,attacking__final_third_entries__left_inside_channel,attacking__final_third_entries__central_channel,attacking__final_third_entries__right_inside_channel,attacking__final_third_entries__right_channel,attacking__offers_to_receive__total,attacking__offers_to_receive__in_behind,attacking__offers_to_receive__in_between,attacking__offers_to_receive__in_front,attacking__offers_to_receive__receptions_between_midfield_and_defensive_lines,attacking__offers_to_receive__receptions_behind_the_defensive_line,attacking__line_breaks__attempted_line_breaks,attacking__line_breaks__completed_line_breaks,attacking__line_breaks__attempted_defensive_line_breaks,attacking__line_breaks__completed_defensive_line_breaks,attacking__discipline__yellow_cards,attacking__discipline__red_cards,attacking__discipline__fouls_against,attacking__discipline__offsides,attacking__distribution__passes,attacking__distribution__passes_completed,attacking__distribution__crosses,attacking__distribution__crosses_completed,attacking__distribution__switches_of_play_completed,attacking__set_plays__corners,attacking__set_plays__free_kicks,attacking__set_plays__penalties_scored,defending__own_goals,defending__forced_turnovers,defending__pressing_applied
FIFA Official Stats,True,41,400021474,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021474,home,Sweden,away,Tunisia,47%,11% in contest,5,1,3,2,4,13,7,4,10,3,19,3,8,3,23,250,62,85,103,77,14,161,92,24,13,0,0,10,3,356,290,12,3,5,4,14,0,0,42,172
FIFA Official Stats,True,41,400021474,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021474,away,Tunisia,home,Sweden,42%,11% in contest,1,5,1,0,1,6,2,2,2,4,10,3,9,9,11,362,97,192,73,81,5,153,89,16,5,1,0,8,6,370,299,13,3,8,2,13,0,0,41,223
FIFA Official Stats,True,41,400021482,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021482,home,Spain,away,Cabo Verde,65%,10% in contest,0,0,0,0,0,27,7,11,16,11,36,13,18,14,38,634,194,172,268,181,29,210,176,34,28,1,0,10,2,811,755,39,8,8,11,4,0,0,53,200
FIFA Official Stats,True,41,400021482,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021482,away,Cabo Verde,home,Spain,25%,10% in contest,0,0,0,0,0,6,1,4,2,4,6,0,3,0,3,238,54,115,69,45,1,132,64,12,1,1,0,1,3,306,227,3,2,2,1,12,0,0,47,398
Live Statistics,False,24,400021478,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021478,home,Belgium,away,Egypt,52%,10% in contest,1,1,0,0,0,15,3,8,9,6,,,,,,,,,,,,,,,,2,0,15,0,476,404,14,5,,2,16,0,0,27,
Live Statistics,False,24,400021478,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021478,away,Egypt,home,Belgium,38%,10% in contest,1,1,0,1,1,14,3,6,7,7,,,,,,,,,,,,,,,,2,0,15,1,413,330,13,2,,7,15,0,1,28,
FIFA Official Stats,True,41,400021486,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021486,home,Saudi Arabia,away,Uruguay,27%,10% in contest,1,1,1,0,0,7,3,3,3,4,5,4,5,1,6,201,51,99,51,79,5,134,61,13,3,1,0,11,0,331,243,6,2,2,4,12,0,0,44,318
FIFA Official Stats,True,41,400021486,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021486,away,Uruguay,home,Saudi Arabia,63%,10% in contest,1,1,1,0,0,27,10,9,16,11,22,12,14,3,25,538,186,174,178,121,15,192,155,21,16,0,0,6,6,623,566,42,12,6,14,11,0,0,39,157
FIFA Official Stats,True,41,400021476,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021476,home,IR Iran,away,New Zealand,43%,12% in contest,2,2,2,0,1,17,4,7,10,7,18,7,7,7,10,355,90,126,139,79,17,166,94,24,15,1,0,10,2,417,333,18,4,4,4,8,0,0,46,253
FIFA Official Stats,True,41,400021476,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021476,away,New Zealand,home,IR Iran,45%,12% in contest,2,2,2,0,2,14,8,3,10,4,15,7,9,1,11,396,88,180,128,118,3,144,108,8,3,0,0,8,0,448,378,11,2,1,1,11,0,0,47,234
